Especies,Abundancia Relativa,Frecuencia Relativa,Dominancia Relativa,IVI 300%,IVI 100%
Eschweilera reversa,11.7816091954,3.6290322581,14.8125183714,30.2231598248,10.0743866083
Bellucia grossularioides,8.3333333333,3.2258064516,3.2738374285,14.8329772135,4.9443257378
Tapirira guianensis,6.0344827586,2.4193548387,6.2648355027,14.7186731,4.9062243667
Inga sp ,5.316091954,3.2258064516,5.1198755696,13.6617739752,4.5539246584
Duguetia sp,3.4482758621,2.8225806452,2.3577464411,8.6286029483,2.8762009828
Xylopia aromatica ,4.3103448276,1.6129032258,2.4495805712,8.3728286246,2.7909428749
Luehea seemannii,0.4310344828,0.4032258065,7.394518303,8.2287785922,2.7429261974
Pseudolmedia laevis,2.5862068966,3.6290322581,1.0435444458,7.2587836004,2.4195945335
Eclinussa sp,2.1551724138,2.8225806452,1.6680003969,6.6457534558,2.2152511519
Dialium guianense,1.4367816092,2.4193548387,2.7281018919,6.5842383398,2.1947461133
Virola sp,2.5862068966,2.0161290323,1.7558978684,6.3582337972,2.1194112657
Protium heptaphyllum,2.2988505747,2.4193548387,1.5549337642,6.2731391776,2.0910463925
Xylopia colombiana ,2.0114942529,2.0161290323,1.8175447999,5.8451680851,1.9483893617
Miconia sp,1.724137931,2.4193548387,1.4817447124,5.6252374821,1.8750791607
Pourouma hirsutipetiolata,1.4367816092,2.0161290323,1.3406122689,4.7935229103,1.5978409701
Brosimun potabile,1.2931034483,1.6129032258,1.8735791253,4.7795857994,1.5931952665
Brachycylix vageleri,0.8620689655,1.6129032258,2.1640085613,4.6389807526,1.5463269175
Virola sebifera,1.724137931,1.2096774194,1.6405545024,4.5743698528,1.5247899509
Xylopia sp,1.867816092,1.2096774194,1.4253212018,4.5028147131,1.5009382377
Iryanthera ulei ,1.5804597701,2.0161290323,0.6377271655,4.2343159679,1.411438656
Alchornea schomburgkii,0.5747126437,0.4032258065,3.2394105934,4.2173490435,1.4057830145
Andira inermis,1.5804597701,0.8064516129,1.8118849355,4.1987963186,1.3995987729
Jacaranda copaia,1.4367816092,1.6129032258,1.056569527,4.106254362,1.368751454
Brosimun utile,1.0057471264,2.0161290323,1.0466996256,4.0685757843,1.3561919281
Cupania cinerea,1.1494252874,1.6129032258,0.9484553882,3.7107839014,1.2369279671
Alchornea sp,1.0057471264,1.2096774194,1.4870098318,3.7024343776,1.2341447925
Andira sp ,1.1494252874,2.0161290323,0.5222920631,3.6878463827,1.2292821276
Xylopia columbiana,1.1494252874,0.4032258065,1.902907008,3.4555581018,1.1518527006
Sterculia colombiana,1.1494252874,1.6129032258,0.6834341843,3.4457626975,1.1485875658
Clathrotropis brachypetala,1.0057471264,1.2096774194,1.1125386374,3.3279631832,1.1093210611
